row_no,model_no,material,metal_finish,stone,size,weight_g,qty,unit_price_usd,total_price_usd,raw_desc
85,ORCB01,925 Sterling Silver,Metal: Oxidized Silver,Black CZ + Blue Enamel,14.5mm * 7mm,1.55,10,3.75,37.50,925 Sterling Silver | Metal: Oxidized Silver | Black CZ + Blue Enamel | 14.5mm * 7mm
86,ORCB02,925 Sterling Silver,Metal: Oxidized Silver,Orange+Black+ Blue Enamel,12mm,1.69,10,3.84,38.40,925 Sterling Silver | Metal: Oxidized Silver | Orange+Black+ Blue Enamel | 12mm
87,ORCB03,925 Sterling Silver,Metal: Oxidized Silver,Black+ Red Enamel,13mm,2,10,4.03,40.30,925 Sterling Silver | Metal: Oxidized Silver | Black+ Red Enamel | 13mm
88,ORCB04,925 Sterling Silver,Metal: Oxidized Silver,White+ Red Enamel,11.5mm,2.79,10,4.38,43.80,925 Sterling Silver | Metal: Oxidized Silver | White+ Red Enamel | 11.5mm
89,ORCB05,925 Sterling Silver,Metal: Oxidized Silver,Black Enamel,13mm,2.84,10,5.12,51.20,925 Sterling Silver | Metal: Oxidized Silver | Black Enamel | 13mm
90,ORCB06,925 Sterling Silver,Metal:Rosegold plated,White Enamel,12mm,1.79,10,4.15,41.50,925 Sterling Silver | Metal:Rosegold plated | White Enamel | 12mm
91,ORCB07,925 Sterling Silver,Metal: Oxidized Silver,,8mm,1.18,10,2.92,29.20,925 Sterling Silver | Metal: Oxidized Silver | 8mm
92,ORCB08,925 Sterling Silver,Metal: Oxidized Silver,Black+ Pink Enamel,13.5mm,1.77,10,4.05,40.50,925 Sterling Silver | Metal: Oxidized Silver | Black+ Pink Enamel | 13.5mm
93,ORCB09,925 Sterling Silver,Metal: Oxidized Silver,White CZ+Black Enamel,12.5mm,2.06,10,4.42,44.19,925 Sterling Silver | Metal: Oxidized Silver | White CZ+Black Enamel | 12.5mm
94,ORCB10,925 Sterling Silver,Metal: Oxidized Silver,Stone :None,21mm,2.63,10,4.76,47.60,925 Sterling Silver | Metal: Oxidized Silver | Stone :None | 21mm
95,ORCB11,925 Sterling Silver,Metal: Oxidized Silver,Black+ Red Enamel,12.5mm,2.62,10,5.24,52.40,925 Sterling Silver | Metal: Oxidized Silver | Black+ Red Enamel | 12.5mm
96,ORCB12,925 Sterling Silver,Metal: Oxidized Silver,White CZ,21.5mm,1.49,10,3.54,35.40,925 Sterling Silver | Metal: Oxidized Silver | White CZ | 21.5mm
97,ORCB13,925 Sterling Silver,Metal: Oxidized Silver,White CZ,20mm,1.45,9,3.30,29.70,925 Sterling Silver | Metal: Oxidized Silver | White CZ | 20mm
98,ORCB14,925 Sterling Silver,Metal: Oxidized Silver,White CZ+Red &Blue Enamel,18mm,1.36,9,3.77,33.93,925 Sterling Silver | Metal: Oxidized Silver | White CZ+Red &Blue Enamel | 18mm
99,ORCB15,925 Sterling Silver,Metal: Oxidized Silver,Black Enamel,22mm,1.97,10,3.50,35.00,925 Sterling Silver | Metal: Oxidized Silver | Black Enamel | 22mm
100,ORCB16,925 Sterling Silver,Metal: Oxidized Silver,Blue+ Pink Enamel,11mm,1.81,10,3.72,37.20,925 Sterling Silver | Metal: Oxidized Silver | Blue+ Pink Enamel | 11mm
101,ORCB17,925 Sterling Silver,Metal: Oxidized Silver,Blue+ Pink Enamel,10mm,2.95,10,5.48,54.80,925 Sterling Silver | Metal: Oxidized Silver | Blue+ Pink Enamel | 10mm
102,ORCB18,925 Sterling Silver,Metal: Oxidized Silver,Black+ Red +Yellow Enamel,10.5mm,2.52,9,5.10,45.90,925 Sterling Silver | Metal: Oxidized Silver | Black+ Red +Yellow Enamel | 10.5mm
103,ORCB20,925 Sterling Silver,Metal: Oxidized Silver,Purple Enamel,21.5mm,1.64,10,3.28,32.80,925 Sterling Silver | Metal: Oxidized Silver | Purple Enamel | 21.5mm
104,ORCB21,925 Sterling Silver,Metal: Oxidized Silver,Green CZ,22mm,1.03,10,2.87,28.70,925 Sterling Silver | Metal: Oxidized Silver | Green CZ | 22mm
105,ORCB22,925 Sterling Silver,Metal: Oxidized Silver,Pink+Yellow Enamel,10mm,2.23,10,4.59,45.90,925 Sterling Silver | Metal: Oxidized Silver | Pink+Yellow Enamel | 10mm
106,ORCB23,925 Sterling Silver,Metal: Oxidized Silver,White CZ +Red &Yellow Enamel,17.5mm,1.29,10,3.52,35.20,925 Sterling Silver | Metal: Oxidized Silver | White CZ +Red &Yellow Enamel | 17.5mm
107,ORCB25,925 Sterling Silver,Metal: Oxidized Silver,White CZ +Red &Yellow Enamel,12mm,2.01,10,4.07,40.70,925 Sterling Silver | Metal: Oxidized Silver | White CZ +Red &Yellow Enamel | 12mm
108,ORCB26,925 Sterling Silver,Metal: Oxidized Silver,Red +Brown Enamel,10.5mm,1.79,10,3.93,39.30,925 Sterling Silver | Metal: Oxidized Silver | Red +Brown Enamel | 10.5mm
109,ORCB27,925 Sterling Silver,Metal: Oxidized Silver,Pink CZ +Green &Yellow Enamel,12.5mm,2.64,10,4.99,49.90,925 Sterling Silver | Metal: Oxidized Silver | Pink CZ +Green &Yellow Enamel | 12.5mm
110,ORCB28,925 Sterling Silver,Metal: Oxidized Silver,White CZ+Purple &Yellow Enamel,13mm,1.11,10,2.76,27.60,925 Sterling Silver | Metal: Oxidized Silver | White CZ+Purple &Yellow Enamel | 13mm
111,ORCB29,925 Sterling Silver,Metal: Oxidized Silver,White CZ,12mm,1.42,10,3.59,35.90,925 Sterling Silver | Metal: Oxidized Silver | White CZ | 12mm
112,ORCB30,925 Sterling Silver,Metal: Rhodium &Rosegold,White CZ,15mm,3.41,10,6.69,66.90,925 Sterling Silver | Metal: Rhodium &Rosegold | Plated+Electrophoretic-coated | White CZ | 15mm
113,ORCB34,925 Sterling Silver + AAAA CZ,Metal:Oxidized Silver+Highly,Stone: Pink & White,11mm,2.1,10,5.03,50.30,925 Sterling Silver + AAAA CZ | Metal:Oxidized Silver+Highly | Polishing | Stone: Pink & White | 11mm
114,ORCB35,925 Sterling Silver + AAAA CZ,Metal:Oxidized Silver+Highly,Stone: White,11mm,2.0,10,4.59,45.90,925 Sterling Silver + AAAA CZ | Metal:Oxidized Silver+Highly | Polishing | Stone: White | 11mm
115,ORCB36,925 Sterling Silver+AAAA CZ,Metal:Oxidized Silver+Highly,Stone: Multicolor,12mm,3.8,10,7.22,72.20,925 Sterling Silver+AAAA CZ | Metal:Oxidized Silver+Highly | Polishing | Stone: Multicolor | 12mm
116,ORCB37,925 Sterling Silver+Enamel,Metal:Oxidized Silver+Highly,Stone:NA / Enamel:Light Blue&White,11mm,1.2,10,3.94,39.40,925 Sterling Silver+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:NA / Enamel:Light Blue&White | 11mm
