"sku","product","handle","price","variant"
"ORCB183-B","Letter B Charm","letter-b-charm","29.00","Default Title"
"ORCB183-F","Letter F Charm","letter-f-charm","29.00","Default Title"
"ORCB183-E","Letter E Charm","letter-e-charm","29.00","Default Title"
"ORCB183-D","Letter D Charm","letter-d-charm","39.00","Default Title"
"ORCB183-H","Letter H Charm","letter-h-charm","39.00","Default Title"
"ORCB183-G","Letter G Charm","letter-g-charm","29.00","Default Title"
"ORCB183-J","Letter J Charm","letter-j-charm","39.00","Default Title"
"ORCB183-I","Letter I Charm","letter-i-charm","29.00","Default Title"
"ORCB183-M","Letter M Charm","letter-m-charm","29.00","Default Title"
"ORCB183-L","Letter L Charm","letter-l-charm","29.00","Default Title"
"ORCB183-K","Letter K Charm","letter-k-charm","39.00","Default Title"
"ORCB183-O","Letter O Charm","letter-o-charm","29.00","Default Title"
"ORCB183-N","Letter N Charm","letter-n-charm","29.00","Default Title"
"ORCB183-R","Letter R Charm","letter-r-charm","29.00","Default Title"
"ORCB183-Q","Letter Q Charm","letter-q-charm","29.00","Default Title"
"ORCB183-P","Letter P Charm","letter-p-charm","29.00","Default Title"
"ORCB183-T","Letter T Charm","letter-t-charm","29.00","Default Title"
"ORCB183-S","Letter S Charm","letter-s-charm","29.00","Default Title"
"ORCB183-W","Letter W Charm","letter-w-charm","29.00","Default Title"
"ORCB183-V","Letter V Charm","letter-v-charm","29.00","Default Title"
"ORCB183-U","Letter U Charm","letter-u-charm","29.00","Default Title"
"ORCB183-Y","Letter Y Charm","letter-y-charm","29.00","Default Title"
"ORCB183-X","Letter X Charm","letter-x-charm","29.00","Default Title"
"ORCB20","Easter Basket Charm","easter-basket-charm","29.00","Default Title"
"ORCB199","Tree of Life Charm, Pink and Purple","tree-of-life-charm-pink-and-purple","49.00","Default Title"
"ORCB183-Z","Letter Z Charm","letter-z-charm","39.00","Default Title"
"ORCB201","Tree of Life Charm, Pave Halo","tree-of-life-charm-pave-halo","49.00","Default Title"
"ORCB200","Tree of Life Heart Charm","tree-of-life-heart-charm","39.00","Default Title"
"ORCB203","Tree of Life Charm, Celtic Knot","tree-of-life-charm-celtic-knot","29.00","Default Title"
"ORCB202","Tree of Life Charm, Engraved","tree-of-life-charm-engraved","39.00","Default Title"
"ORCB206","Tree of Life Charm, Oxidized","tree-of-life-charm-oxidized","39.00","Default Title"
"ORCB205","Tree of Life Charm, Scrolled","tree-of-life-charm-scrolled","49.00","Default Title"
"ORCB204","Tree of Life Heart Charm, Stone Set","tree-of-life-heart-charm-stone-set","39.00","Default Title"
"ORCB209","Tree of Life Heart Charm, Turquoise","tree-of-life-heart-charm-turquoise","39.00","Default Title"
"ORCB208","Tree of Life Heart Charm, Red","tree-of-life-heart-charm-red","49.00","Default Title"
"ORCB211","Tree of Life Heart Dangle, Pink","tree-of-life-heart-dangle-pink","49.00","Default Title"
"ORCB210","Tree of Life Dangle, Scrolled","tree-of-life-dangle-scrolled","39.00","Default Title"
"ORCB21","Palm Tree Charm","palm-tree-charm","29.00","Default Title"
"ORCB213","Tree of Life Dangle, Beaded Ring","tree-of-life-dangle-beaded-ring","39.00","Default Title"
"ORCB212","Tree of Life Dangle, Blue Stones","tree-of-life-dangle-blue-stones","29.00","Default Title"
"ORCB215","Flamingo Charm, Magenta","flamingo-charm-magenta","39.00","Default Title"
"ORCB214","Flamingo Charm","flamingo-charm","39.00","Default Title"
"ORCB218","Dinosaur Charm","dinosaur-charm","49.00","Default Title"
"ORCB217","Camel Charm","camel-charm","49.00","Default Title"
"ORCB216","Flamingo Charm, Pale Pink","flamingo-charm-pale-pink","49.00","Default Title"
"ORCB22","Daisy Heart Charm","daisy-heart-charm","39.00","Default Title"
"ORCB219","Rubber Duck Charm","rubber-duck-charm","39.00","Default Title"
"ORCB23","Daisy Heart Dangle","daisy-heart-dangle","29.00","Default Title"
"ORCB221","Carousel Horse Charm","carousel-horse-charm","39.00","Default Title"
"ORCB220","Giraffe Charm, Brown Spots","giraffe-charm-brown-spots","49.00","Default Title"
"ORCB26","Coffee Cup Charm","coffee-cup-charm","29.00","Default Title"
"ORCB25","Christmas Sleigh Charm","christmas-sleigh-charm","29.00","Default Title"
"ORCB29","Engagement Ring Charm","engagement-ring-charm","29.00","Default Title"
"ORCB28","Champagne Toast Charm","champagne-toast-charm","29.00","Default Title"
"ORCB27","Cupcake Charm","cupcake-charm","39.00","Default Title"
"ORCB32-Agr","Aquarius Zodiac Charm","aquarius-zodiac-charm","29.00","Default Title"
"ORCB30","Baby Pram Charm","baby-pram-charm","49.00","Default Title"
"ORCB32-Ari","Aries Zodiac Charm","aries-zodiac-charm","29.00","Default Title"
"ORCB32-Gem","Gemini Zodiac Charm","gemini-zodiac-charm","29.00","Default Title"
"ORCB32-Cnc","Cancer Zodiac Charm","cancer-zodiac-charm","29.00","Default Title"
"ORCB32-Cap","Capricorn Zodiac Charm","capricorn-zodiac-charm","29.00","Default Title"
"ORCB32-Lib","Libra Zodiac Charm","libra-zodiac-charm","29.00","Default Title"
"ORCB32-Leo","Leo Zodiac Charm","leo-zodiac-charm","29.00","Default Title"
"ORCB32-Sgr","Sagittarius Zodiac Charm","sagittarius-zodiac-charm","29.00","Default Title"
"ORCB32-Sco","Scorpio Zodiac Charm","scorpio-zodiac-charm","29.00","Default Title"
"ORCB32-Psc","Pisces Zodiac Charm","pisces-zodiac-charm","29.00","Default Title"
"ORCB32-Vir","Virgo Zodiac Charm","virgo-zodiac-charm","29.00","Default Title"
"ORCB32-Tau","Taurus Zodiac Charm","taurus-zodiac-charm","29.00","Default Title"
"ORCB33-G","August Birthstone Charm, Peridot","august-birthstone-charm-peridot","29.00","Default Title"
"ORCB33-F","October Birthstone Charm, Tourmaline","october-birthstone-charm-tourmaline","29.00","Default Title"
"ORCB33-BL","September Birthstone Charm, Sapphire","september-birthstone-charm-sapphire","29.00","Default Title"
"ORCB33-LV","May Birthstone Charm, Emerald","may-birthstone-charm-emerald","29.00","Default Title"
"ORCB33-L","December Birthstone Charm, Turquoise","december-birthstone-charm-turquoise","29.00","Default Title"
"ORCB33-PL","June Birthstone Charm, Alexandrite","june-birthstone-charm-alexandrite","29.00","Default Title"
"ORCB33-P","February Birthstone Charm, Amethyst","february-birthstone-charm-amethyst","29.00","Default Title"
"ORCB33-M","July Birthstone Charm, Ruby","july-birthstone-charm-ruby","29.00","Default Title"
"ORCB33-R","January Birthstone Charm, Garnet","january-birthstone-charm-garnet","29.00","Default Title"
"ORCB33-Q","March Birthstone Charm, Aquamarine","march-birthstone-charm-aquamarine","29.00","Default Title"
"ORCB33-X","November Birthstone Charm, Yellow Topaz","november-birthstone-charm-yellow-topaz","29.00","Default Title"
"ORCB33-W","April Birthstone Charm, White","april-birthstone-charm-white","29.00","Default Title"
"ORCB36","Crystal Cluster Charm, Blue","crystal-cluster-charm-blue","49.00","Default Title"
"ORCB35","Four Leaf Clover Charm","four-leaf-clover-charm","39.00","Default Title"
"ORCB34","Openwork Hearts Charm, Pink","openwork-hearts-charm-pink","39.00","Default Title"
"ORCB38","Butterfly Charm, Light Blue","butterfly-charm-light-blue","39.00","Default Title"
"ORCB37","Heart Charm, Light Blue Enamel","heart-charm-light-blue-enamel","29.00","Default Title"
"ORCB41","Love Padlock Charm, Blue","love-padlock-charm-blue","39.00","Default Title"
"ORCB40","Red Rose Charm","red-rose-charm","29.00","Default Title"
"ORCB39","Primrose Charm, Light Blue","primrose-charm-light-blue","39.00","Default Title"
"ORCB43","Cherry Blossom Charm, Pink","cherry-blossom-charm-pink","29.00","Default Title"
"ORCB42","Butterfly Charm, Pink","butterfly-charm-pink","29.00","Default Title"
"ORCB46","Sunglasses Charm","sunglasses-charm","39.00","Default Title"
"ORCB45","Daisy Charm, Pink","daisy-charm-pink","39.00","Default Title"
"ORCB44","Pave Heart Charm, Pink","pave-heart-charm-pink","39.00","Default Title"
"ORCB48","Baby Shoe Charm, Blue","baby-shoe-charm-blue","49.00","Default Title"
"ORCB47","Teddy Bear Charm","teddy-bear-charm","29.00","Default Title"
"ORCB51","Royal Carriage Charm","royal-carriage-charm","49.00","Default Title"
"ORCB50","Dragonfly Crystal Charm","dragonfly-crystal-charm","39.00","Default Title"
"ORCB49","Linked Hearts Charm","linked-hearts-charm","39.00","Default Title"
"ORCB53","Angel Pearl Charm","angel-pearl-charm","39.00","Default Title"
"ORCB52","Blossom and Butterfly Charm","blossom-and-butterfly-charm","29.00","Default Title"
"ORCB55","Dreamcatcher Charm","dreamcatcher-charm","39.00","Default Title"
"ORCB54","Devil Pearl Charm","devil-pearl-charm","39.00","Default Title"
"ORCB59","Takeaway Coffee Charm","takeaway-coffee-charm","29.00","Default Title"
"ORCB58","Scissors and Comb Charm","scissors-and-comb-charm","29.00","Default Title"
"ORCB56","Crown Charm","crown-charm","39.00","Default Title"
"ORCB61","Origami Crane Charm","origami-crane-charm","29.00","Default Title"
"ORCB60","Owl Charm, Turquoise","owl-charm-turquoise","39.00","Default Title"
"ORCB64","Sunglasses and Stiletto Charm","sunglasses-and-stiletto-charm","39.00","Default Title"
"ORCB63","Puzzle Heart Charm","puzzle-heart-charm","39.00","Default Title"
"ORCB62","Family Tree Charm","family-tree-charm","39.00","Default Title"
"ORCB66","Violin Charm","violin-charm","29.00","Default Title"
