sku,product_name,category,price_thb,price_usd,quantity
ORCB201,"Tree of Life Charm, Pave Halo",Charms,1200,49.00,21
ORCB202,"Tree of Life Charm, Engraved",Charms,1200,39.00,19
ORCB203,"Tree of Life Charm, Celtic Knot",Charms,1200,29.00,19
ORCB204,"Tree of Life Heart Charm, Stone Set",Charms,1200,39.00,19
ORCB205,"Tree of Life Charm, Scrolled",Charms,1200,49.00,21
ORCB206,"Tree of Life Charm, Oxidized",Charms,1200,39.00,20
ORCB208,"Tree of Life Heart Charm, Red",Charms,1200,49.00,21
ORCB209,"Tree of Life Heart Charm, Turquoise",Charms,1200,39.00,21
ORCB210,"Tree of Life Dangle, Scrolled",Charms,1200,39.00,20
ORCB211,"Tree of Life Heart Dangle, Pink",Charms,1200,49.00,21
ORCB212,"Tree of Life Dangle, Blue Stones",Charms,1200,29.00,20
ORCB213,"Tree of Life Dangle, Beaded Ring",Charms,1200,39.00,21
ORCB214,Flamingo Charm,Charms,1200,39.00,19
ORCB215,"Flamingo Charm, Magenta",Charms,1200,39.00,20
ORCB216,"Flamingo Charm, Pale Pink",Charms,1200,49.00,20
ORCB217,Camel Charm,Charms,1200,49.00,21
ORCB218,Dinosaur Charm,Charms,1200,49.00,12
ORCB219,Rubber Duck Charm,Charms,1200,39.00,20
ORCB220,"Giraffe Charm, Brown Spots",Charms,1200,49.00,20
ORCB221,Carousel Horse Charm,Charms,1200,39.00,19
ORGCBB1-17-W,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
ORGCBB1-17-R,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,5
ORGCBB1-17-K,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,6
ORGCBB1-17-B,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,6
ORGCBB1-17-G,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
ORGCBB1-19-W,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
ORGCBB1-19-R,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
ORGCBB1-19-K,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,7
ORGCBB1-19-B,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
ORGCBB1-19-G,PEACE - SNAKE CHAIN,Charm Bracelets,2900,89.00,8
