sku,category,unit_cost_usd,suggested_price_thb,margin_pct
ORCB63,Charms,4.77,1200,87
ORCB64,Charms,5.46,1200,85
ORCB65,Charms,5.64,1200,84
ORCB66,Charms,3.50,1200,90
ORCB67,Charms,3.88,1200,89
ORCB70,Charms,5.35,1200,85
ORCB71,Charms,4.13,1200,89
ORCB73,Charms,4.59,1200,87
ORCB74,Charms,5.13,1200,86
ORCB76,Charms,7.34,1200,80
ORCB77,Charms,7.22,1200,80
ORCB78,Charms,5.80,1200,84
ORCB79,Charms,9.30,1200,74
ORCB80,Charms,4.87,1200,87
ORCB81,Charms,4.59,1200,87
ORCB82,Charms,5.50,1200,85
ORCB83,Charms,5.21,1200,86
ORCB84,Charms,4.87,1200,87
ORCB85,Charms,4.81,1200,87
ORCB86,Charms,5.69,1200,84
ORCB88,Charms,3.36,1200,91
ORCB89,Charms,5.88,1200,84
ORCB100,Charms,6.25,1200,83
ORCB101,Charms,7.02,1200,81
ORCB102,Charms,6.46,1200,82
ORCB103,Charms,7.02,1200,81
ORCB104,Charms,6.00,1200,83
ORCB106,Charms,5.17,1200,86
ORCB107,Charms,6.13,1200,83
ORCB108,Charms,4.26,1200,88
ORCB110,Charms,6.13,1200,83
ORCB111,Charms,5.46,1200,85
ORCB113,Charms,6.30,1200,83
ORCB114,Charms,5.19,1200,86
ORCB115,Charms,5.03,1200,86
ORCB116,Charms,6.35,1200,82
ORCB117,Charms,4.96,1200,86
ORCB118,Charms,6.68,1200,82
ORCB119,Charms,5.58,1200,85
ORCB120,Charms,5.40,1200,85
ORCB122,Charms,5.25,1200,86
ORCB123,Charms,7.00,1200,81
ORCB124,Charms,7.22,1200,80
ORCB125,Charms,5.03,1200,86
ORCB126,Charms,3.43,1200,91
ORCB127,Charms,4.59,1200,87
ORCB128,Charms,6.80,1200,81
ORCB129,Charms,4.55,1200,87
ORCB135,Charms,4.97,1200,86
ORCB136,Charms,4.98,1200,86
ORCB137,Charms,6.07,1200,83
ORCB138,Charms,4.27,1200,88
ORCB139,Charms,8.40,1200,77
ORCB140,Charms,4.69,1200,87
ORCB142,Charms,5.23,1200,86
ORCB144,Charms,5.69,1200,84
ORCB146,Charms,4.20,1200,88
ORCB149,Charms,4.51,1200,88
ORCB150,Charms,4.85,1200,87
ORCB151,Charms,5.03,1200,86
ORCB152,Charms,6.82,1200,81
ORCB153,Charms,5.47,1200,85
ORCB154,Charms,5.47,1200,85
ORCB155,Charms,4.59,1200,87
ORCB156,Charms,5.03,1200,86
ORCB157,Charms,5.03,1200,86
ORCB159,Charms,5.03,1200,86
ORCB160,Charms,5.03,1200,86
ORCB161,Charms,5.47,1200,85
ORCB162,Charms,4.38,1200,88
ORCB163,Charms,5.47,1200,85
ORCB164,Charms,4.59,1200,87
ORCB165,Charms,4.59,1200,87
ORCB166,Charms,4.81,1200,87
ORCB168,Charms,5.03,1200,86
ORCB169,Charms,6.34,1200,83
ORCB170,Charms,4.59,1200,87
ORCB171,Charms,5.03,1200,86
ORCB173,Charms,5.69,1200,84
ORCB174,Charms,4.81,1200,87
ORCB175,Charms,4.59,1200,87
ORCB176,Charms,7.32,1200,80
ORCB177,Charms,5.91,1200,84
ORCB179,Charms,6.34,1200,83
ORCB180,Charms,5.03,1200,86
ORCB182,Charms,5.69,1200,84
ORCBB01-17,Charm Bracelets,22.15,2900,75
ORCBB01-19,Charm Bracelets,23.95,2900,73
ORCBB01-21,Charm Bracelets,26.85,2900,69
ORCB183-A,Charms,4.44,1200,88
ORCB183-B,Charms,4.44,1200,88
ORCB183-C,Charms,4.22,1200,88
ORCB183-D,Charms,4.67,1200,87
ORCB183-E,Charms,4.44,1200,88
ORCB183-F,Charms,4.44,1200,88
ORCB183-G,Charms,4.22,1200,88
ORCB183-H,Charms,4.67,1200,87
ORCB183-I,Charms,4.00,1200,89
ORCB183-J,Charms,4.67,1200,87
ORCB183-K,Charms,4.89,1200,87
ORCB183-L,Charms,4.00,1200,89
ORCB183-M,Charms,4.44,1200,88
ORCB183-N,Charms,4.44,1200,88
ORCB183-O,Charms,4.00,1200,89
ORCB183-P,Charms,4.44,1200,88
ORCB183-Q,Charms,4.44,1200,88
ORCB183-R,Charms,4.44,1200,88
ORCB183-S,Charms,4.00,1200,89
ORCB183-T,Charms,4.22,1200,88
ORCB183-U,Charms,4.44,1200,88
ORCB183-V,Charms,4.22,1200,88
ORCB183-W,Charms,4.22,1200,88
ORCB183-X,Charms,4.22,1200,88
ORCB183-Y,Charms,3.56,1200,90
ORCB183-Z,Charms,5.11,1200,86
ORSE340-P,Earrings,9.57,1900,83
ORSE340-14K,Earrings,9.10,1900,84
ORSN290-P,Necklaces,8.05,1900,86
ORSN290-14K,Necklaces,7.78,1900,86
ORSN292,Necklaces,9.43,1900,84
ORSE341,Earrings,9.66,1900,83
ORSE37,Earrings,5.10,1900,91
ORSE80,Earrings,4.76,1900,92
ORSE82,Earrings,7.26,1900,87
ORSE86-P,Earrings,1.93,1900,97
ORSE97,Earrings,3.63,1900,94
ORSE101-R,Earrings,6.33,1900,89
ORSE105-P,Earrings,3.85,1900,93
ORSE105-R,Earrings,3.85,1900,93
ORSE106-R,Earrings,2.45,1900,96
ORSE106-P,Earrings,2.54,1900,96
ORSE118,Earrings,3.06,1900,95
ORSE119-W,Earrings,2.31,1900,96
ORSE146-40cm,Earrings,5.10,1900,91
ORSE146-50cm,Earrings,6.24,1900,89
ORSE151-P,Earrings,5.78,1900,90
ORSE152-G,Earrings,6.46,1900,89
ORSE152-P,Earrings,6.46,1900,89
ORSE164,Earrings,4.76,1900,92
ORSE171-G,Earrings,3.06,1900,95
ORSE171-P,Earrings,3.06,1900,95
ORSE186-W,Earrings,3.46,1900,94
ORSE186-B,Earrings,3.46,1900,94
ORSE192-B,Earrings,3.74,1900,93
ORSE192-W,Earrings,3.54,1900,94
ORSE205,Earrings,3.85,1900,93
ORSE207,Earrings,5.90,1900,90
ORSE208,Earrings,3.85,1900,93
ORSE210,Earrings,4.76,1900,92
ORSE212,Earrings,5.44,1900,91
ORSE218,Earrings,3.63,1900,94
ORSE220,Earrings,12.29,1900,79
ORSE221,Earrings,20.52,9900,93
ORSE222,Earrings,12.85,1900,78
ORSE223,Earrings,18.89,3900,84
ORSE229,Earrings,7.64,1900,87
ORSE231,Earrings,5.53,1900,90
ORSE232,Earrings,6.05,1900,89
ORSE234,Earrings,6.87,1900,88
ORSE237,Earrings,6.24,1900,89
ORSE238,Earrings,4.58,1900,92
ORSE240,Earrings,6.62,1900,88
ORSE243,Earrings,6.83,1900,88
ORSE245-R,Earrings,6.01,1900,90
ORSE245-G,Earrings,6.01,1900,90
ORSE247-G,Earrings,5.87,1900,90
ORSE247-R,Earrings,5.58,1900,90
ORSE247-P,Earrings,6.08,1900,89
ORSE248-G,Earrings,3.56,1900,94
ORSE248-P,Earrings,3.56,1900,94
ORSE248-R,Earrings,3.56,1900,94
ORSE259,Earrings,3.54,1900,94
ORSE262,Earrings,7.48,1900,87
ORSE267,Earrings,6.92,1900,88
ORSE279-R,Earrings,4.99,1900,91
ORSE280,Earrings,3.99,1900,93
ORSE290,Earrings,6.69,1900,88
ORSE291,Earrings,8.73,1900,85
ORSE294,Earrings,7.03,1900,88
ORSE295-P,Earrings,4.88,1900,92
ORSE295-G,Earrings,4.65,1900,92
ORSE296-G,Earrings,5.56,1900,90
ORSE296-P,Earrings,5.56,1900,90
ORSE302,Earrings,4.99,1900,91
ORSE303,Earrings,4.95,1900,91
ORSE306,Earrings,6.26,1900,89
ORSE308,Earrings,5.76,1900,90
ORSE309,Earrings,4.67,1900,92
ORSE310,Earrings,4.60,1900,92
ORSE312,Earrings,6.24,1900,89
ORSE314,Earrings,6.39,1900,89
ORSE317,Earrings,3.85,1900,93
ORSE320,Earrings,12.24,1900,79
ORSE321,Earrings,3.40,1900,94
ORSE322,Earrings,2.49,1900,96
ORSE323,Earrings,2.49,1900,96
ORSE326,Earrings,5.10,1900,91
ORSE327,Earrings,5.22,1900,91
ORSE329,Earrings,4.99,1900,91
ORSE331-P,Earrings,3.40,1900,94
ORSE331-R,Earrings,3.40,1900,94
ORSE332-4mm,Earrings,2.90,1900,95
ORSE333-P-W,Earrings,9.30,1900,84
ORSE333-P-F,Earrings,9.52,1900,83
ORSE335-P,Earrings,3.36,1900,94
ORSE336-P,Earrings,9.98,1900,83
ORSE337,Earrings,6.31,1900,89
OREQE01,Earrings,3.51,1900,94
OREQE02,Earrings,3.29,1900,94
OREQE04,Earrings,6.24,1900,89
OREQE09,Earrings,3.85,1900,93
OREQE10,Earrings,3.40,1900,94
OREQE18,Earrings,4.67,1900,92
OREQE19,Earrings,6.44,1900,89
OREQE20,Earrings,8.82,1900,85
OREQE21,Earrings,6.44,1900,89
OREQE23,Earrings,4.42,1900,92
OREQE24,Earrings,6.80,1900,88
OREQE25,Earrings,4.42,1900,92
OREQE28-P,Earrings,4.08,1900,93
OREQE33,Earrings,7.03,1900,88
ORGPE01,Earrings,4.92,1900,91
ORGPE03,Earrings,4.20,1900,93
ORGPE04,Earrings,5.90,1900,90
ORAPE01,Earrings,2.95,1900,95
ORAPE02,Earrings,2.74,1900,95
ORAPE04,Earrings,2.27,1900,96
ORAPE05,Earrings,2.83,1900,95
ORAPE06,Earrings,2.49,1900,96
ORAPE07,Earrings,2.72,1900,95
ORAPE09,Earrings,2.54,1900,96
ORAPE10,Earrings,2.77,1900,95
ORAPE11,Earrings,2.27,1900,96
ORAPE12,Earrings,2.99,1900,95
ORAPE15,Earrings,3.33,1900,94
ORAPE16,Earrings,2.83,1900,95
ORAPE17,Earrings,3.31,1900,94
ORAPE23,Earrings,4.10,1900,93
ORAPE13,Earrings,3.54,1900,94
ORAPE19,Earrings,4.83,1900,92
ORAPE20,Earrings,4.60,1900,92
ORAPE21,Earrings,3.29,1900,94
ORHAPE27-P,Earrings,1.38,1900,98
ORHAPE27-G,Earrings,1.38,1900,98
ORHAPE28-P,Earrings,1.41,1900,98
ORHAPE28-G,Earrings,1.41,1900,98
ORHAPE29-P,Earrings,1.41,1900,98
ORHAPE29-G,Earrings,1.41,1900,98
ORGCB05-P-18,Charms,5.09,1200,86
ORGCB06-P,Charms,7.09,1200,80
ORGCB50P,Charms,7.09,1200,80
ORGCB07-18K,Charms,5.81,1200,84
ORGCB07-P,Charms,6.04,1200,83
ORGCB08-P,Charms,5.49,1200,85
ORGCB08-18K,Charms,5.26,1200,85
ORGCB09-P,Charms,3.99,1200,89
