"SKU","From","FromScore","To","ToScore"
"ORGCB52-L","ORGCB52-L.jpg","152","ORGCB52-L-2.jpg","254,5"
"ORGCB53-L","ORGCB53-L.jpg","152","ORGCB53-L-2.jpg","252,9"
"ORGCB54-L","ORGCB54-L.jpg","152","ORGCB54-L-2.jpg","252,9"
"ORGCB55-L","ORGCB55-L.jpg","152","ORGCB55-L-2.jpg","252,4"
"ORPA0097","ORPA0097.jpg","170,1","ORPA0097-3.jpg","255"
"ORPA034","ORPA034.jpg","174,8","ORPA034-3.jpg","255"
