ORCBB01-17,22.15,44
ORCBB01-19,23.95,44
ORCBB01-21,26.85,46
ORCB32-Ari,4.26,15
ORCB32-Tau,4.42,16
ORCB32-Gem,4.31,16
ORCB32-Cnc,4.26,16
ORCB32-Leo,4.31,16
ORCB32-Vir,4.31,16
ORCB32-Lib,4.35,15
ORCB32-Sco,4.31,11
ORCB32-Sgr,4.31,16
ORCB32-Cap,4.42,13
ORCB32-Agr,4.47,13
ORCB32-Psc,4.17,15
ORCB33-R,3.50,20
ORCB33-P,3.50,20
ORCB33-Q,3.50,20
ORCB33-W,3.50,20
ORCB33-LV,3.50,20
ORCB33-PL,3.50,20
ORCB33-M,3.50,19
ORCB33-G,3.50,20
ORCB33-BL,3.50,20
ORCB33-F,3.50,20
ORCB33-X,3.50,20
ORCB33-L,3.50,20
ORPA0010,5.92,10
ORPA034,4.66,10
ORPA0035,5.35,9
ORPA0094,4.79,10
ORPA0097,5.57,10
ORPA0107,5.50,10
ORPA0123,4.39,10
ORPA0132,5.46,10
ORPA0142,3.77,10
ORPA0147,3.75,10
ORPA0149,3.62,10
ORGCBB1-17-W,22.15,8
ORGCBB1-17-R,22.15,5
ORGCBB1-17-K,22.15,6
ORGCBB1-17-B,22.15,6
ORGCBB1-17-G,22.15,8
ORGCBB1-19-W,23.95,8
ORGCBB1-19-R,23.95,8
ORGCBB1-19-K,23.95,7
ORGCBB1-19-B,23.95,8
ORGCBB1-19-G,23.95,8
ORGCBB1-21-W,26.85,5
ORGCBB1-21-R,26.85,8
ORGCBB1-21-K,26.85,8
ORGCBB1-21-B,26.85,8
