page	seq_on_page	y	obj	file	width	height
48	10	831.1	556	img_0434.jpg	507	870
49	1	87.2	568	img_0444.jpg	495	426
49	2	168.8	569	img_0445.jpg	475	410
49	3	254.9	570	img_0446.jpg	450	426
49	4	346.1	571	img_0447.jpg	458	404
49	5	436.0	572	img_0448.jpg	484	446
49	6	522.2	573	img_0449.jpg	458	441
49	7	623.0	574	img_0450.jpg	526	453
49	8	715.7	575	img_0451.jpg	507	449
49	9	812.6	576	img_0452.jpg	494	457
50	1	98.3	588	img_0462.jpg	265	296
50	2	178.7	587	img_0461.jpg	520	463
50	3	265.2	586	img_0460.jpg	510	451
50	4	349.4	579	img_0453.jpg	400	373
50	5	433.0	580	img_0454.jpg	382	399
50	6	522.2	581	img_0455.jpg	415	403
50	7	610.2	582	img_0456.jpg	381	387
50	8	694.1	583	img_0457.jpg	411	400
50	9	775.0	584	img_0458.jpg	426	417
50	10	856.4	585	img_0459.jpg	366	377
51	1	89.2	585	img_0459.jpg	366	377
51	2	169.7	591	img_0463.jpg	378	385
51	3	248.6	592	img_0464.jpg	370	407
51	4	320.4	593	img_0465.jpg	410	409
51	5	391.1	594	img_0466.jpg	355	382
51	6	469.2	595	img_0467.jpg	391	397
51	7	540.6	597	img_0469.jpg	1001	1001
51	8	631.9	596	img_0468.jpg	1001	1001
51	9	712.4	598	img_0470.jpg	502	529
51	10	794.6	599	img_0471.jpg	272	413
51	11	876.5	600	img_0472.jpg	800	800
52	1	90.7	600	img_0472.jpg	800	800
52	2	175.3	603	img_0473.jpg	800	800
52	3	257.4	604	img_0474.jpg	800	800
52	4	339.5	605	img_0475.jpg	800	800
52	5	421.6	606	img_0476.jpg	800	800
52	6	503.6	607	img_0477.jpg	800	800
52	7	585.8	608	img_0478.jpg	800	800
52	8	667.8	609	img_0479.jpg	800	800
52	9	749.9	610	img_0480.jpg	800	800
52	10	832.0	611	img_0481.jpg	800	800
52	11	914.0	612	img_0482.jpg	800	800
53	1	11.2	611	img_0481.jpg	800	800
53	2	93.2	612	img_0482.jpg	800	800
53	3	175.3	615	img_0483.jpg	800	800
53	4	257.4	616	img_0484.jpg	800	800
53	5	339.5	617	img_0485.jpg	800	800
53	6	421.6	618	img_0486.jpg	800	800
53	7	503.6	619	img_0487.jpg	800	800
53	8	585.7	620	img_0488.jpg	800	800
53	9	667.9	621	img_0489.jpg	800	800
53	10	749.9	622	img_0490.jpg	800	800
53	11	832.0	623	img_0491.jpg	800	800
53	12	914.0	624	img_0492.jpg	800	800
54	1	11.2	623	img_0491.jpg	800	800
54	2	93.2	624	img_0492.jpg	800	800
54	3	175.3	627	img_0493.jpg	800	800
54	4	257.4	628	img_0494.jpg	800	800
54	5	330.6	629	img_0495.jpg	1001	1001
54	6	406.6	629	img_0495.jpg	1001	1001
54	7	489.8	634	img_0500.jpg	1001	1001
54	8	572.4	633	img_0499.jpg	1001	1001
54	9	652.8	632	img_0498.jpg	1001	1001
54	10	735.6	630	img_0496.jpg	1001	1001
54	11	818.2	631	img_0497.jpg	1001	1001
55	1	91.9	634	img_0500.jpg	1001	1001
55	2	174.4	633	img_0499.jpg	1001	1001
55	3	255.0	632	img_0498.jpg	1001	1001
55	4	337.8	630	img_0496.jpg	1001	1001
55	5	420.1	631	img_0497.jpg	1001	1001
55	6	502.2	634	img_0500.jpg	1001	1001
55	7	584.9	633	img_0499.jpg	1001	1001
55	8	665.3	632	img_0498.jpg	1001	1001
55	9	748.2	630	img_0496.jpg	1001	1001
55	10	829.0	637	img_0501.jpg	1001	1001
55	11	911.0	638	img_0502.jpg	1001	1001
56	1	90.2	638	img_0502.jpg	1001	1001
56	2	174.0	641	img_0503.jpg	1001	1001
56	3	255.6	642	img_0504.jpg	469	762
56	4	337.6	643	img_0505.jpg	438	786
56	5	419.0	644	img_0506.jpg	1001	1001
56	6	500.8	645	img_0507.jpg	1001	1001
56	7	583.3	646	img_0508.jpg	1001	1001
56	8	664.8	647	img_0509.jpg	1001	1001
56	9	746.0	649	img_0511.jpg	1001	1001
56	10	829.6	648	img_0510.jpg	1001	1001
57	1	92.9	656	img_0516.jpg	1001	1001
57	2	173.4	652	img_0512.jpg	1001	1001
57	3	254.9	654	img_0514.jpg	1001	1001
57	4	342.6	653	img_0513.jpg	1001	1001
57	5	434.4	655	img_0515.jpg	1001	1001
57	6	515.5	657	img_0517.jpg	1001	1001
57	7	598.2	660	img_0520.jpg	1001	1001
57	8	680.8	659	img_0519.jpg	1001	1001
57	9	761.8	658	img_0518.jpg	1001	1001
58	1	91.4	671	img_0529.jpg	1001	1001
58	2	172.4	672	img_0530.jpg	1001	1001
58	3	255.5	670	img_0528.jpg	1001	1001
58	4	337.6	669	img_0527.jpg	1001	1001
58	5	419.2	667	img_0525.jpg	1001	1001
58	6	499.2	666	img_0524.jpg	1001	1001
58	7	583.3	668	img_0526.jpg	1001	1001
58	8	664.1	664	img_0522.jpg	1001	1001
58	9	743.3	665	img_0523.jpg	1001	1001
58	10	827.9	663	img_0521.jpg	800	800
59	1	96.4	680	img_0531.jpg	1001	1001
59	2	190.9	681	img_0532.jpg	400	400
59	3	264.2	682	img_0533.jpg	865	415
