"File","Dist"
"img_0214.jpg","56,32"
"img_0215.jpg","55,12"
"img_0216.jpg","55,12"
"img_0217.jpg","55,21"
"img_0218.jpg","64,54"
"img_0219.jpg","55,12"
"img_0220.jpg","57,19"
"img_0221.jpg","55,57"
"img_0222.jpg","46,19"
"img_0223.jpg","45,88"
"img_0224.jpg","45,33"
"img_0225.jpg","44,26"
"img_0226.jpg","46,97"
"img_0227.jpg","45,11"
"img_0228.jpg","44,34"
"img_0229.jpg","46,34"
"img_0230.jpg","44,67"
"img_0231.jpg","47,75"
"img_0232.jpg","46,75"
"img_0233.jpg","44,99"
"img_0234.jpg","45,93"
"img_0235.jpg","45,78"
"img_0236.jpg","46,63"
"img_0237.jpg","44,16"
"img_0238.jpg","44,51"
"img_0239.jpg","47,05"
"img_0240.jpg","47,15"
"img_0241.jpg","44,28"
"img_0242.jpg","45,07"
"img_0243.jpg","47,59"
"img_0244.jpg","45,99"
"img_0245.jpg","48,28"
"img_0246.jpg","44,59"
"img_0247.jpg","45,8"
"img_0248.jpg","54,87"
"img_0249.jpg","54,66"
"img_0250.jpg","55,12"
"img_0251.jpg","55,12"
"img_0252.jpg","57,66"
"img_0253.jpg","55,12"
"img_0254.jpg","52,25"
"img_0255.jpg","51,45"
"img_0256.jpg","55,12"
"img_0257.jpg","52,29"
"img_0258.jpg","53,58"
"img_0259.jpg","57,94"
"img_0260.jpg","55,15"
"img_0261.jpg","55,49"
"img_0262.jpg","53,6"
"img_0263.jpg","54,1"
"img_0264.jpg","53,83"
"img_0265.jpg","53,57"
"img_0266.jpg","50,73"
"img_0267.jpg","46,65"
"img_0268.jpg","48,32"
"img_0269.jpg","48,44"
"img_0270.jpg","46,01"
"img_0271.jpg","57,56"
"img_0272.jpg","54,23"
"img_0273.jpg","53,7"
"img_0274.jpg","54,18"
"img_0275.jpg","112,76"
"img_0276.jpg","53,44"
"img_0277.jpg","46,47"
"img_0278.jpg","46,48"
"img_0279.jpg","46,46"
"img_0280.jpg","46,47"
"img_0281.jpg","46,47"
"img_0282.jpg","46,51"
"img_0283.jpg","56,15"
"img_0284.jpg","58,32"
"img_0285.jpg","55,69"
"img_0286.jpg","56,87"
"img_0287.jpg","55,12"
"img_0288.jpg","55,13"
"img_0289.jpg","63,26"
"img_0290.jpg","59,19"
"img_0291.jpg","55,12"
"img_0292.jpg","55,12"
"img_0293.jpg","55,12"
"img_0294.jpg","59,11"
"img_0295.jpg","56,18"
"img_0296.jpg","56,24"
"img_0297.jpg","55,12"
"img_0298.jpg","55,12"
"img_0299.jpg","55,12"
"img_0300.jpg","55,12"
"img_0301.jpg","55,12"
"img_0302.jpg","55,12"
"img_0303.jpg","55,6"
"img_0304.jpg","55,29"
"img_0305.jpg","55,12"
"img_0306.jpg","46,88"
"img_0307.jpg","45,71"
"img_0308.jpg","55,15"
"img_0309.jpg","56,36"
"img_0310.jpg","55,12"
"img_0311.jpg","55,3"
"img_0312.jpg","55,12"
"img_0313.jpg","55,12"
"img_0314.jpg","55,12"
"img_0315.jpg","55,12"
"img_0316.jpg","55,12"
"img_0317.jpg","54,8"
"img_0318.jpg","55,39"
"img_0319.jpg","57,57"
"img_0320.jpg","55,12"
"img_0321.jpg","55,1"
"img_0322.jpg","55,16"
"img_0323.jpg","55,13"
"img_0324.jpg","55,11"
"img_0325.jpg","55,12"
"img_0326.jpg","55,12"
"img_0327.jpg","55,12"
"img_0328.jpg","55,13"
"img_0329.jpg","55,12"
"img_0330.jpg","55,17"
"img_0331.jpg","55,12"
"img_0332.jpg","55,12"
"img_0333.jpg","54,48"
"img_0334.jpg","58,8"
"img_0335.jpg","61,63"
"img_0336.jpg","55"
"img_0337.jpg","55,12"
"img_0338.jpg","55,86"
"img_0339.jpg","60,78"
"img_0340.jpg","61,36"
"img_0341.jpg","63,98"
"img_0342.jpg","55,66"
"img_0343.jpg","55,04"
"img_0344.jpg","55,12"
"img_0345.jpg","55,41"
"img_0346.jpg","55,12"
"img_0347.jpg","61,54"
"img_0348.jpg","55,12"
"img_0349.jpg","55,13"
"img_0350.jpg","55,14"
"img_0351.jpg","55,12"
"img_0352.jpg","55,08"
"img_0353.jpg","56,74"
"img_0354.jpg","55,12"
"img_0355.jpg","55,37"
"img_0356.jpg","55,12"
"img_0357.jpg","55,12"
"img_0358.jpg","55,12"
"img_0359.jpg","55,13"
"img_0360.jpg","55,09"
"img_0361.jpg","55,15"
"img_0362.jpg","55,12"
"img_0363.jpg","55,12"
"img_0364.jpg","55,12"
"img_0365.jpg","55,12"
"img_0366.jpg","55,12"
"img_0367.jpg","55,09"
"img_0368.jpg","55,12"
"img_0369.jpg","55,13"
"img_0370.jpg","55,23"
"img_0371.jpg","56,34"
"img_0372.jpg","55,16"
"img_0373.jpg","55,32"
"img_0374.jpg","55,12"
"img_0375.jpg","55,12"
"img_0376.jpg","55,12"
"img_0377.jpg","55,12"
"img_0378.jpg","55,12"
"img_0379.jpg","55,12"
"img_0380.jpg","55,12"
"img_0381.jpg","55,12"
"img_0382.jpg","55,12"
"img_0383.jpg","54,49"
"img_0384.jpg","54,48"
"img_0385.jpg","55,12"
"img_0386.jpg","55,12"
"img_0387.jpg","55,12"
"img_0388.jpg","55,12"
"img_0389.jpg","55,12"
"img_0390.jpg","55,12"
"img_0391.jpg","54,81"
"img_0392.jpg","55,12"
"img_0393.jpg","55,12"
"img_0394.jpg","55,12"
"img_0395.jpg","55,25"
"img_0396.jpg","55,12"
"img_0397.jpg","55,12"
"img_0398.jpg","55,12"
"img_0399.jpg","55,12"
"img_0400.jpg","55,12"
"img_0401.jpg","55,12"
"img_0402.jpg","55,12"
"img_0403.jpg","55,49"
"img_0404.jpg","55,12"
"img_0405.jpg","55,12"
"img_0406.jpg","55,12"
"img_0407.jpg","54,61"
"img_0408.jpg","55,12"
"img_0409.jpg","54,04"
"img_0410.jpg","55,12"
"img_0411.jpg","55,12"
"img_0412.jpg","55,12"
"img_0413.jpg","55,12"
"img_0414.jpg","55,12"
"img_0415.jpg","55,12"
"img_0416.jpg","53,19"
"img_0417.jpg","55,02"
"img_0418.jpg","55,08"
"img_0419.jpg","55,12"
"img_0420.jpg","56,98"
"img_0421.jpg","54,63"
"img_0422.jpg","58,82"
"img_0423.jpg","56"
"img_0424.jpg","46,32"
"img_0425.jpg","47,15"
"img_0426.jpg","46,21"
"img_0427.jpg","179,78"
"img_0428.jpg","217,4"
"img_0429.jpg","209,64"
"img_0430.jpg","220,06"
"img_0431.jpg","44,26"
"img_0432.jpg","73,29"
"img_0433.jpg","54,6"
"img_0434.jpg","70,93"
"img_0435.jpg","69,65"
"img_0436.jpg","56,07"
"img_0437.jpg","67,17"
"img_0438.jpg","67,88"
"img_0439.jpg","55,51"
"img_0440.jpg","55,32"
"img_0441.jpg","56,4"
"img_0442.jpg","55,54"
"img_0443.jpg","55,36"
"img_0444.jpg","72,34"
