"handle","oldStone","newStone","newEnamel","oldFinish","newFinish"
"daisy-heart-charm","Pink+Yellow Enamel","Pink &amp; Yellow Enamel","","Oxidized Silver","Oxidized Silver"
"carousel-horse-charm","Stone: None","","","Oxidized Silver","Oxidized Silver"
"daisy-heart-dangle","White CZ +Red &Yellow Enamel","White CZ, Red &amp; Yellow Enamel","","Oxidized Silver","Oxidized Silver"
"christmas-sleigh-charm","White CZ +Red &Yellow Enamel","White CZ, Red &amp; Yellow Enamel","","Oxidized Silver","Oxidized Silver"
"coffee-cup-charm","Red +Brown Enamel","Red &amp; Brown Enamel","","Oxidized Silver","Oxidized Silver"
"cupcake-charm","Pink CZ +Green &Yellow Enamel","Pink CZ, Green &amp; Yellow Enamel","","Oxidized Silver","Oxidized Silver"
"champagne-toast-charm","White CZ+Purple &Yellow Enamel","White CZ, Purple &amp; Yellow Enamel","","Oxidized Silver","Oxidized Silver"
"baby-pram-charm","White CZ","White CZ","","Rhodium &Rosegold","Rhodium &amp; Rose Gold"
"openwork-hearts-charm-pink","Stone: Pink & White","Pink &amp; White","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"four-leaf-clover-charm","Stone: White","White","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"crystal-cluster-charm-blue","Stone: Multicolor","Multicolour","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"heart-charm-light-blue-enamel","Stone:NA / Enamel:Light Blue&White","","Light Blue &amp; White","Oxidized Silver, Highly","Heavily Oxidized Silver"
"butterfly-charm-light-blue","Stone:NA / Enamel:Light Blue","","Light Blue","Oxidized Silver, Highly","Heavily Oxidized Silver"
"primrose-charm-light-blue","CZ+Enamel","White","Light Blue","Oxidized Silver, Highly","Heavily Oxidized Silver"
"red-rose-charm","Stone:NA / Enamel:Red","","Red","Oxidized Silver, Highly","Heavily Oxidized Silver"
"love-padlock-charm-blue","Stone:NA / Enamel: Blue","","Blue","Oxidized Silver, Highly","Heavily Oxidized Silver"
"butterfly-charm-pink","Stone:NA / Enamel:Pink","","Pink","Oxidized Silver, Highly","Heavily Oxidized Silver"
"cherry-blossom-charm-pink","CZ+Enamel","White","Pink","Oxidized Silver, Highly","Heavily Oxidized Silver"
"pave-heart-charm-pink","Stone:Pink","Pink","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"daisy-charm-pink","CZ+Enamel","White","Pink","Oxidized Silver, Highly","Heavily Oxidized Silver"
"sunglasses-charm","Stone:NA / Enamel:Black","","Black","Oxidized Silver, Highly","Heavily Oxidized Silver"
"teddy-bear-charm","Stone:NA / Enamel:Brown","","Brown","Oxidized Silver, Highly","Heavily Oxidized Silver"
"baby-shoe-charm-blue","CZ+Enamel","Blue","Light Blue","Oxidized Silver, Highly","Heavily Oxidized Silver"
"linked-hearts-charm","Stone:White","White","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"dragonfly-crystal-charm","Stone:Blue &amp; Orange","Blue &amp; Orange","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"royal-carriage-charm","","","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"blossom-and-butterfly-charm","CZ+Enamel","White","Pink &amp; White","Oxidized Silver, Highly","Heavily Oxidized Silver"
"angel-pearl-charm","Stone:White","White","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"devil-pearl-charm","Stone:Black","Black","","Oxidized Silver, Highly","Heavily Oxidized Silver"
"dreamcatcher-charm","Stone: Muti-color","Multicolour","","Rhodium Plated","Rhodium Plated"
"crown-charm","Stone: Muti-color","Multicolour","","Rhodium Plated","Rhodium Plated"
"owl-charm-turquoise","+Enamel","Blue &amp; White","","Rhodium Plated","Rhodium Plated"
"family-tree-charm","Stone: White","White","","Rhodium Plated","Rhodium Plated"
"flamingo-charm-pink","+Enamel","White","","Rhodium Plated","Rhodium Plated"
"feather-charm","Stone: White","White","","Rhodium Plated","Rhodium Plated"
"owl-charm-gold-heart","+Enamel","Blue","","Rhodium Plated","Rhodium Plated"
"mother-and-child-charm","Stone: white","White","","Rhodium Plated","Rhodium Plated"
"safety-chain","Stone: white","White","","Rhodium Plated","Rhodium Plated"
"sea-turtle-charm","Stone: Blue","Blue","","Rhodium Plated","Rhodium Plated"
"i-love-you-heart-charm","CZ+Enamel","White","","Rhodium Plated","Rhodium Plated"
"rainbow-heart-charm","Stone: Muti-color","Multicolour","","Rhodium Plated","Rhodium Plated"
"corgi-charm","CZ+Enamel","White","","Rhodium Plated","Rhodium Plated"
"dog-kennel-charm","Stone: Purple","Purple","","Rhodium Plated","Rhodium Plated"
"snowman-charm","Stone: Blue+Red","Blue &amp; Red","","Rhodium Plated","Rhodium Plated"
"lotus-flower-charm","","","","Rhodium Plating, Enamel","Rhodium Plated, Enamel"
"little-mermaid-charm","","","","Silver Oxidation","Oxidized Silver"
"coat-of-arms-charm","","","","Rhodium Plating","Rhodium Plated"
"fluted-clip-clear-stone","","","","Silver Plating","Silver Plated"
"pink-enamel-spacer","","","","Silver Plating","Silver Plated"
"snake-chain-bracelet-with-enamel-accent","","","","Rhodium Plating, Enamel","Rhodium Plated, Enamel"
